F0-Autocorrelação;F0-FFT;F1-FFT;F2-FFT;F3-FFT;F4-FFT;E0-FFT;E1-FFT;E2-FFT;E3-FFT;E4-FFT
171,88899;172;337;510;694;846;660,50602;374,25289;120,86087;83,088367;48,272617
163,26531;166;324;652;829;938;528,79983;369,62876;148,46345;64,803576;33,010386
154,0931;144;303;467;931;1097;516,84298;451,69392;83,078895;57,846362;25,155863
169,01408;167;338;534;697;818;458,92598;309,59938;97,051119;48,086385;44,913809
158,80893;162;312;469;596;657;677,84862;492,1745;94,119327;74,207247;42,153759
160,26711;171;640;798;925;1127;178,49909;135,04014;88,96741;31,598235;20,096118
160,401;155;324;484;626;799;233,21983;172,69383;54,517283;48,481474;27,601414
165,23236;168;321;668;843;993;357,25927;236,36137;107,20837;42,746134;35,401973
162,57409;158;327;495;652;807;423,49922;125,96716;110,73239;91,542736;46,559797
174,07072;349;520;702;867;1028;590,76093;143,98719;103,74968;83,975736;40,829007
167,24739;160;335;513;641;691;273,15323;124,80748;116,3765;64,033443;55,134753
145,34444;145;291;429;603;746;510,42971;258,55948;86,443758;57,17816;43,537103
145,23449;147;297;435;584;732;546,17065;286,36615;110,72138;107,38419;52,53146
157,37705;187;318;636;959;1206;218,88038;211,04082;75,043858;52,255411;20,356277
166,37782;168;324;489;809;1005;418,70172;354,54527;65,844883;51,646415;22,577468
162,02532;164;324;486;650;811;538,30508;455,87499;226,17901;138,86087;41,304584
157,765;187;314;458;532;628;298,26432;183,91289;95,160037;69,118456;64,547314
156,47922;159;313;620;774;951;300,72271;204,59493;77,367276;48,701386;31,023596
144,68726;161;291;432;567;722;554,08587;449,03977;259,07134;126,51103;67,204403
160,53512;162;327;640;813;981;631,26473;432,94404;138,24347;62,56388;61,186242
151,41956;303;454;607;1061;1212;510,47838;264,3574;214,54377;48,053014;18,951031
149,64926;146;296;346;451;586;397,88304;294,72563;151,78598;112,95969;83,607547
169,9115;173;324;378;494;588;330,3626;236,88373;124,94987;84,712626;81,763263
147,12644;149;299;440;583;724;664,26258;411,65818;289,33134;198,90754;72,728175
154,34084;159;311;454;610;799;342,24892;325,78004;178,13626;143,21906;59,984593
155,71776;152;315;614;774;910;195,80015;173,71984;73,348929;34,683222;17,45551
169,76127;158;208;321;412;484;361,7288;240,82043;106,95295;101,86886;99,088975
151,53907;304;459;609;902;1056;325,15986;116,98171;68,726754;49,667052;21,569876
143,17673;147;272;442;564;648;456,66645;250,55495;127,18747;81,504427;38,726277
153,84615;145;301;407;639;778;335,61683;311,97755;61,271685;54,544978;43,204638
156,47922;166;321;467;617;778;157,28197;124,72443;61,430724;45,635201;31,070144
148,26255;297;447;597;883;1025;433,94006;115,46259;52,750102;36,614053;24,72452
165,94641;164;218;318;391;493;475,97951;142,23691;134,44861;81,098012;69,168351
159,20398;162;320;512;633;974;470,7837;299,84958;82,58193;58,171051;28,383888
146,9013;289;573;636;732;854;171,72721;58,548664;42,407484;38,519909;19,744077
144,79638;172;299;393;579;713;182,50779;130,99144;105,63453;104,31286;53,483429
177,77778;166;216;297;372;477;283,02317;128,40139;100,93177;69,504349;47,112056
160,80402;156;315;649;739;789;424,36535;179,7744;71,99774;60,970505;42,611454
166,81147;168;332;501;669;784;307,27474;285,84306;87,310803;54,314249;29,916205
78,91492;157;314;373;442;648;159,21245;54,36872;26,338509;23,999422;22,413674
165,80311;157;310;536;667;862;233,86136;102,53149;101,9081;87,402411;34,422082
157,63547;121;324;423;575;807;139,86916;137,69544;48,223273;38,575177;29,888879
144,25244;143;282;334;548;598;248,63028;119,96931;66,614041;50,744728;28,341158
75;152;300;595;719;771;144,59337;77,04824;29,172733;13,363005;8,6700793
160,53512;165;336;489;664;792;263,66218;94,850428;78,755427;46,095207;31,375327
171,58177;190;313;368;534;652;188,58159;62,078195;49,080088;33,499335;27,286056
151,89873;162;301;446;609;758;230,64006;225,29624;71,15715;39,361435;37,407608
157,89474;151;311;477;633;850;327,01986;197,62582;130,13389;101,77175;38,887396
153,72298;149;317;457;610;936;325,83936;136,00241;105,17278;45,065786;38,136748
75,889328;147;226;310;448;607;327,51327;138,46972;125,44693;71,105515;66,120751
166,23377;177;327;479;846;985;201,78606;98,008054;79,657001;47,309835;39,953689
160,13344;141;348;467;639;780;168,78445;121,12555;53,601533;39,913139;24,693972
151,30024;298;432;749;895;36049;167,57016;63,874938;27,400635;16,619775;12,597723
141,38439;285;428;569;708;981;329,95246;142,81939;89,350942;52,142515;27,173191
153,96953;157;308;482;607;735;268,23451;179,22046;56,542258;41,307797;30,717763
148,49188;293;588;644;880;1029;284,28614;129,36833;36,955613;31,789619;23,712064
149,64926;300;458;590;739;1204;261,76343;95,739339;53,937585;27,446438;19,81441
179,60711;182;383;543;612;870;436,96447;101,96603;57,912875;49,729429;26,339378
149,30016;149;306;599;755;873;389,81017;70,310751;66,443315;29,680186;18,493907
183,55641;162;212;283;366;421;174,59064;125,56145;50,138374;32,583412;18,986261
148,03392;296;441;741;898;1078;351,47892;116,11637;49,542741;28,504422;16,85559
136,6548;138;266;317;390;551;265,63603;164,82421;45,465198;43,686967;30,737225
171,12299;197;305;490;785;858;192,29674;71,702323;46,312099;27,314082;17,449187
143,60509;144;288;425;588;706;449,09381;175,81513;91,878484;48,46412;23,185432
150,70644;300;446;754;907;36790;97,105057;38,184952;11,433657;9,355326;7,3339711
138,82863;134;186;251;338;400;240,76322;55,396327;44,633253;42,640012;29,577555
140,45355;142;284;427;574;36587;83,293596;53,871379;24,785712;7,6557355;7,349399
70,614196;145;210;278;445;573;261,33;113,46172;68,667318;39,028658;29,914967
158,02469;171;297;357;448;530;186,96464;122,97072;43,640707;40,902573;28,825367
153,6;154;282;338;486;565;228,535;120,76161;52,661078;29,24605;26,918709
153,11005;165;302;352;600;741;157,91534;41,232739;27,429111;21,640725;12,4556
144,57831;132;189;311;400;544;229,57736;153,15245;132,6205;126,54694;51,105774
153,84615;155;306;621;786;1078;472,86623;129,76456;94,082439;51,954431;28,586747
152,019;160;311;623;677;1080;209,74693;93,795422;34,662164;19,858292;19,133273
153,6;138;311;609;669;765;130,84817;76,525752;57,633914;24,232796;17,233652
172,04301;193;348;503;702;859;102,48885;83,415869;54,584606;34,889515;24,784901
166,08997;177;243;296;368;450;171,3415;82,451857;67,133956;42,282358;32,54092
151,53907;150;300;356;743;1047;357,67954;293,48888;55,493573;49,600337;26,360551
176,47059;352;536;700;902;1036;195,65259;34,56776;25,100718;19,803718;10,511991
175,98533;177;360;534;710;883;289,39809;174,94738;90,044853;46,836724;23,800212
170,66667;156;357;515;665;732;347,70971;124,33802;96,552505;42,692779;28,667998
153,47722;155;311;470;605;655;182,47232;83,239881;50,810738;29,821749;14,887006
216,70429;219;421;694;775;1182;300,63443;66,854835;41,828511;31,57281;25,187622
179,94377;183;374;530;704;754;138,60268;120,94063;62,859656;30,21495;17,133278
163,82253;159;209;377;630;736;136,82611;62,268879;48,235744;46,59865;33,242829
196,11849;203;363;438;537;715;255,19535;105,55459;61,583517;50,856924;38,976872
179,27171;167;222;350;412;528;208,51684;74,968181;52,854937;32,226127;26,055356
161,20907;153;306;362;460;556;390,93295;188,04055;104,68156;51,173233;47,853908
88,80666;185;255;348;488;610;125,72454;76,999829;43,686587;25,381613;24,452472
163,96243;161;214;326;394;445;377,40916;97,414233;62,33863;47,394998;40,287188
148,49188;152;280;626;691;827;179,05567;63,634744;25,218518;11,95664;10,67642
160,93881;159;340;610;666;756;183,08382;61,804698;22,718674;19,282979;11,816107
156,60685;153;317;479;637;782;373,5728;175,14852;60,288903;42,766528;19,659265
180,96136;196;357;538;724;852;311,24931;178,01789;78,993135;65,443375;28,989114
160,26711;164;317;495;675;760;456,08725;263,24966;94,484684;46,840479;22,24434
177,12177;192;269;345;511;615;152,63209;57,258022;45,153008;38,900414;28,804286
164,80687;168;337;488;665;717;259,71799;94,130148;64,687601;56,052051;28,980945
176,14679;173;346;412;589;649;284,27398;126,50504;50,314507;49,393838;28,790437
50,091312;152;202;407;467;543;290,23125;170,36507;72,678735;39,527488;29,634382
172,19731;160;341;462;525;585;298,49154;138,57439;55,541434;43,71097;42,470209
174,22868;176;349;532;656;847;252,57582;137,46298;48,731189;43,002215;27,153628
180,45113;341;405;516;681;830;216,41771;75,906062;61,80111;40,495154;30,167007
187,5;184;406;546;620;778;220,95558;100,52949;38,944263;33,648579;25,317304
169,46161;167;329;525;688;779;195,78071;125,94623;38,151784;24,11219;18,210256
160,401;310;508;669;777;36181;79,851346;25,918237;14,939009;11,750763;6,9358283
86,486486;180;351;412;612;1032;99,377485;70,083254;48,336632;27,185632;20,597787
170,21277;171;344;508;678;851;226,639;112,84965;58,601949;54,191065;25,834959
162,29924;168;321;483;637;687;131,02217;112,39732;63,54389;24,279852;17,380614
173,91304;174;340;527;693;863;256,38028;186,94481;43,54866;25,713733;24,033795
177,94254;178;353;508;559;699;192,38999;79,467169;56,410499;23,492241;21,895313
101,5873;99;165;221;300;350;186,23146;103,8604;43,485526;24,620186;13,097841
172,19731;346;689;1017;36239;36315;205,76664;51,736671;17,368657;7,2854223;5,1148858
170,21277;174;339;479;537;689;235,20323;137,83616;78,549888;46,752605;40,851946
173,44173;171;348;508;682;732;198,72249;45,29381;36,2902;30,604305;20,905263
147,12644;157;291;433;575;625;220,99677;92,230756;74,978627;56,168913;26,782209
